ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige, glace, autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique;Temps passé 1;Temps présent;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee
07643;2023-11-16T04:00:00+01:00;102130;-120.0;6;50;1.2;279.95;277.45;84;46520.0;0;;;75.0;6;6480.0;;;;102030.0;;;-30.0;;;;;277.35;;;1.8;2.3;-10.0;;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;6.0;;6480.0;6.0;;7260.0;;;;;;;43.577, 3.963167;MONTPELLIER;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;6.800000000000011;;;;;4.2000000000000455;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;11
07643;2023-11-06T19:00:00+01:00;101670;200.0;3;310;3.6;286.55;277.65;55;60000.0;0;;;;1;2520.0;;;;101570.0;;;910.0;281.15;;291.25;;279.85;;;4.2;6.3;-10.0;;0.0;;;0.0;0.0;0.0;2.4;2.4;;;;;1.0;;2520.0;;;;;;;;;;43.577, 3.963167;MONTPELLIER;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;13.400000000000034;8.0;;18.100000000000023;;6.7000000000000455;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;11
07643;2023-11-08T16:00:00+01:00;102050;-150.0;6;210;4.4;289.55;279.65;52;46640.0;0;;;;0;;;;;101950.0;;;130.0;;;;;275.65;;;6.7;8.6;-10.0;;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;43.577, 3.963167;MONTPELLIER;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;16.400000000000034;;;;;2.5;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;11
07643;2023-12-04T07:00:00+01:00;101430;-250.0;8;130;10.6;284.85;281.15;78;27490.0;0;;;100.0;6;800.0;;;;101330.0;;;-810.0;273.65;;284.85;;270.35;;;15.3;15.3;-10.0;;0.0;;;-0.1;-0.1;-0.1;-0.1;-0.1;;;;;2.0;;720.0;5.0;;930.0;6.0;;1140.0;;8;;43.577, 3.963167;MONTPELLIER;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;11.700000000000045;0.5;;11.700000000000045;;-2.7999999999999545;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;12
07643;2023-11-10T10:00:00+01:00;101170;60.0;1;270;6.6;287.25;279.35;59;38160.0;0;;;;1;3120.0;;;;101070.0;;;-200.0;;;;;283.15;;;9.6;9.6;-10.0;;0.0;;;0.0;0.0;0.0;0.0;-0.1;;;;;1.0;;3120.0;;;;;;;;;;43.577, 3.963167;MONTPELLIER;En hausse, puis stationnaire, ou en hausse, puis en hausse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;14.100000000000023;;;;;10.0;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;11
07643;2023-11-10T13:00:00+01:00;101040;-130.0;8;280;7.4;289.25;278.25;48;60000.0;0;;;90.0;7;1750.0;;;;100940.0;;;-280.0;;;;;283.55;;;11.0;13.0;-10.0;;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;6.0;;1860.0;7.0;;2160.0;;;;;;;43.577, 3.963167;MONTPELLIER;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;16.100000000000023;;;;;10.400000000000034;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;11
07643;2023-11-25T04:00:00+01:00;101340;220.0;3;10;4.6;281.15;270.55;47;60000.0;0;;;;;;;;;101240.0;;;;;;;;;;;;10.8;-10.0;;0.0;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;43.577, 3.963167;MONTPELLIER;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;8.0;;;;;;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;11
07643;2023-11-14T01:00:00+01:00;102050;30.0;2;330;1.7;286.55;285.45;93;18430.0;0;;;75.0;6;4620.0;;;;101950.0;;;130.0;;;;;284.55;;;2.3;2.9;-10.0;;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;2.0;;4620.0;6.0;;5160.0;;;;;;;43.577, 3.963167;MONTPELLIER;En hausse;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;13.400000000000034;;;;;11.400000000000034;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;11
07643;2023-11-14T19:00:00+01:00;101800;170.0;3;300;1.1;290.05;286.55;80;45570.0;0;;;100.0;8;3480.0;;;;101700.0;;;-150.0;285.65;;296.05;;284.85;;;2.2;5.3;-10.0;;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;8.0;;3480.0;;;;;;;;;;43.577, 3.963167;MONTPELLIER;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;16.900000000000034;12.5;;22.900000000000034;;11.700000000000045;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;11
07643;2023-11-30T04:00:00+01:00;100230;-170.0;6;360;5.3;279.55;276.85;83;60000.0;0;;;100.0;8;450.0;;;;100130.0;;;-780.0;;;;;279.25;;;7.6;9.0;-10.0;;0.0;;;0.0;-0.1;-0.1;-0.1;-0.1;;;;;8.0;;360.0;;;;;;;;;;43.577, 3.963167;MONTPELLIER;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;6.400000000000034;;;;;6.100000000000023;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;11
