,nom_com,nom_poll,date_debut
24,TOULOUSE,PM10,2023/01/01 00:00:00+00
25,TOULOUSE,PM10,2022/01/01 00:00:00+00
26,TOULOUSE,PM10,2021/01/01 00:00:00+00
27,TOULOUSE,PM10,2020/01/01 00:00:00+00
28,TOULOUSE,PM10,2019/01/01 00:00:00+00
29,TOULOUSE,PM10,2018/01/01 00:00:00+00
84,PEYRUSSE-VIEILLE,PM10,2023/01/01 00:00:00+00
85,PEYRUSSE-VIEILLE,PM10,2022/01/01 00:00:00+00
86,PEYRUSSE-VIEILLE,PM10,2021/01/01 00:00:00+00
87,PEYRUSSE-VIEILLE,PM10,2020/01/01 00:00:00+00
88,PEYRUSSE-VIEILLE,PM10,2019/01/01 00:00:00+00
89,PEYRUSSE-VIEILLE,PM10,2018/01/01 00:00:00+00
96,TOULOUSE,PM10,2023/01/01 00:00:00+00
97,TOULOUSE,PM10,2022/01/01 00:00:00+00
98,TOULOUSE,PM10,2021/01/01 00:00:00+00
99,TOULOUSE,PM10,2020/01/01 00:00:00+00
100,TOULOUSE,PM10,2019/01/01 00:00:00+00
101,TOULOUSE,PM10,2018/01/01 00:00:00+00
126,ALBI,PM10,2023/01/01 00:00:00+00
127,ALBI,PM10,2022/01/01 00:00:00+00
128,ALBI,PM10,2021/01/01 00:00:00+00
129,ALBI,PM10,2020/01/01 00:00:00+00
130,ALBI,PM10,2019/01/01 00:00:00+00
131,ALBI,PM10,2018/01/01 00:00:00+00
162,TOULOUSE,PM10,2023/01/01 00:00:00+00
163,TOULOUSE,PM10,2022/01/01 00:00:00+00
164,TOULOUSE,PM10,2021/01/01 00:00:00+00
165,TOULOUSE,PM10,2020/01/01 00:00:00+00
166,TOULOUSE,PM10,2019/01/01 00:00:00+00
167,TOULOUSE,PM10,2018/01/01 00:00:00+00
190,TOULOUSE,PM10,2023/01/01 00:00:00+00
191,TOULOUSE,PM10,2022/01/01 00:00:00+00
192,TOULOUSE,PM10,2021/01/01 00:00:00+00
193,TOULOUSE,PM10,2020/01/01 00:00:00+00
194,TOULOUSE,PM10,2019/01/01 00:00:00+00
195,TOULOUSE,PM10,2018/01/01 00:00:00+00
196,TOULOUSE,PM10,2023/01/01 00:00:00+00
197,TOULOUSE,PM10,2022/01/01 00:00:00+00
198,TOULOUSE,PM10,2021/01/01 00:00:00+00
199,TOULOUSE,PM10,2020/01/01 00:00:00+00
200,TOULOUSE,PM10,2019/01/01 00:00:00+00
201,TOULOUSE,PM10,2018/01/01 00:00:00+00
235,LOURDES,PM10,2023/01/01 00:00:00+00
236,LOURDES,PM10,2022/01/01 00:00:00+00
237,LOURDES,PM10,2021/01/01 00:00:00+00
238,LOURDES,PM10,2020/01/01 00:00:00+00
239,LOURDES,PM10,2019/01/01 00:00:00+00
240,LOURDES,PM10,2018/01/01 00:00:00+00
263,BLAGNAC,PM10,2023/01/01 00:00:00+00
264,BLAGNAC,PM10,2022/01/01 00:00:00+00
265,BLAGNAC,PM10,2021/01/01 00:00:00+00
266,BLAGNAC,PM10,2020/01/01 00:00:00+00
267,BLAGNAC,PM10,2019/01/01 00:00:00+00
268,BLAGNAC,PM10,2018/01/01 00:00:00+00
292,BLAGNAC,PM10,2023/01/01 00:00:00+00
293,BLAGNAC,PM10,2022/01/01 00:00:00+00
294,BLAGNAC,PM10,2021/01/01 00:00:00+00
295,BLAGNAC,PM10,2020/01/01 00:00:00+00
296,BLAGNAC,PM10,2019/01/01 00:00:00+00
297,BLAGNAC,PM10,2018/01/01 00:00:00+00
298,BESSIERES,PM10,2023/01/01 00:00:00+00
299,BESSIERES,PM10,2022/01/01 00:00:00+00
300,BESSIERES,PM10,2021/01/01 00:00:00+00
301,BESSIERES,PM10,2020/01/01 00:00:00+00
302,BESSIERES,PM10,2019/01/01 00:00:00+00
303,BESSIERES,PM10,2018/01/01 00:00:00+00
322,TOULOUSE,PM10,2023/01/01 00:00:00+00
323,TOULOUSE,PM10,2022/01/01 00:00:00+00
324,TOULOUSE,PM10,2021/01/01 00:00:00+00
325,TOULOUSE,PM10,2020/01/01 00:00:00+00
326,TOULOUSE,PM10,2019/01/01 00:00:00+00
327,TOULOUSE,PM10,2018/01/01 00:00:00+00
352,TARBES,PM10,2023/01/01 00:00:00+00
353,TARBES,PM10,2022/01/01 00:00:00+00
354,TARBES,PM10,2021/01/01 00:00:00+00
355,TARBES,PM10,2020/01/01 00:00:00+00
356,TARBES,PM10,2019/01/01 00:00:00+00
357,TARBES,PM10,2018/01/01 00:00:00+00
388,CASTRES,PM10,2023/01/01 00:00:00+00
389,CASTRES,PM10,2022/01/01 00:00:00+00
390,CASTRES,PM10,2021/01/01 00:00:00+00
391,CASTRES,PM10,2020/01/01 00:00:00+00
392,CASTRES,PM10,2019/01/01 00:00:00+00
393,CASTRES,PM10,2018/01/01 00:00:00+00
414,TOULOUSE,PM10,2023/01/01 00:00:00+00
415,TOULOUSE,PM10,2022/01/01 00:00:00+00
416,TOULOUSE,PM10,2021/01/01 00:00:00+00
417,TOULOUSE,PM10,2020/01/01 00:00:00+00
418,TOULOUSE,PM10,2019/01/01 00:00:00+00
419,TOULOUSE,PM10,2018/01/01 00:00:00+00
451,MONTAUBAN,PM10,2023/01/01 00:00:00+00
452,MONTAUBAN,PM10,2022/01/01 00:00:00+00
453,MONTAUBAN,PM10,2021/01/01 00:00:00+00
454,MONTAUBAN,PM10,2020/01/01 00:00:00+00
455,MONTAUBAN,PM10,2019/01/01 00:00:00+00
485,MONTPELLIER,PM10,2023/01/01 00:00:00+00
486,MONTPELLIER,PM10,2022/01/01 00:00:00+00
487,MONTPELLIER,PM10,2021/01/01 00:00:00+00
488,MONTPELLIER,PM10,2020/01/01 00:00:00+00
489,MONTPELLIER,PM10,2019/01/01 00:00:00+00
490,MONTPELLIER,PM10,2018/01/01 00:00:00+00
521,MONTPELLIER,PM10,2023/01/01 00:00:00+00
522,MONTPELLIER,PM10,2022/01/01 00:00:00+00
523,MONTPELLIER,PM10,2021/01/01 00:00:00+00
524,MONTPELLIER,PM10,2020/01/01 00:00:00+00
525,MONTPELLIER,PM10,2019/01/01 00:00:00+00
526,MONTPELLIER,PM10,2018/01/01 00:00:00+00
563,LUNEL-VIEL,PM10,2023/01/01 00:00:00+00
564,LUNEL-VIEL,PM10,2022/01/01 00:00:00+00
565,LUNEL-VIEL,PM10,2021/01/01 00:00:00+00
566,LUNEL-VIEL,PM10,2020/01/01 00:00:00+00
567,LUNEL-VIEL,PM10,2019/01/01 00:00:00+00
568,LUNEL-VIEL,PM10,2018/01/01 00:00:00+00
605,AGDE,PM10,2023/01/01 00:00:00+00
606,AGDE,PM10,2022/01/01 00:00:00+00
621,NIMES,PM10,2023/01/01 00:00:00+00
622,NIMES,PM10,2022/01/01 00:00:00+00
623,NIMES,PM10,2021/01/01 00:00:00+00
624,NIMES,PM10,2020/01/01 00:00:00+00
625,NIMES,PM10,2019/01/01 00:00:00+00
626,NIMES,PM10,2018/01/01 00:00:00+00
639,NIMES,PM10,2023/01/01 00:00:00+00
640,NIMES,PM10,2022/01/01 00:00:00+00
641,NIMES,PM10,2021/01/01 00:00:00+00
642,NIMES,PM10,2020/01/01 00:00:00+00
643,NIMES,PM10,2019/01/01 00:00:00+00
644,NIMES,PM10,2018/01/01 00:00:00+00
669,PERPIGNAN,PM10,2023/01/01 00:00:00+00
670,PERPIGNAN,PM10,2022/01/01 00:00:00+00
671,PERPIGNAN,PM10,2021/01/01 00:00:00+00
672,PERPIGNAN,PM10,2020/01/01 00:00:00+00
673,PERPIGNAN,PM10,2019/01/01 00:00:00+00
674,PERPIGNAN,PM10,2018/01/01 00:00:00+00
702,PERPIGNAN,PM10,2023/01/01 00:00:00+00
703,PERPIGNAN,PM10,2022/01/01 00:00:00+00
704,PERPIGNAN,PM10,2021/01/01 00:00:00+00
705,PERPIGNAN,PM10,2020/01/01 00:00:00+00
706,PERPIGNAN,PM10,2019/01/01 00:00:00+00
716,MONTPELLIER,PM10,2023/01/01 00:00:00+00
717,MONTPELLIER,PM10,2022/01/01 00:00:00+00
718,MONTPELLIER,PM10,2021/01/01 00:00:00+00
733,BEZIERS,PM10,2023/01/01 00:00:00+00
734,BEZIERS,PM10,2022/01/01 00:00:00+00
735,BEZIERS,PM10,2021/01/01 00:00:00+00
781,ALES,PM10,2023/01/01 00:00:00+00
782,ALES,PM10,2022/01/01 00:00:00+00
783,MENDE,PM10,2022/01/01 00:00:00+00
784,MENDE,PM10,2021/01/01 00:00:00+00
785,MENDE,PM10,2020/01/01 00:00:00+00
786,MENDE,PM10,2019/01/01 00:00:00+00
787,MENDE,PM10,2018/01/01 00:00:00+00
811,ARGELES-GAZOST,PM10,2023/01/01 00:00:00+00
812,ARGELES-GAZOST,PM10,2022/01/01 00:00:00+00
813,ARGELES-GAZOST,PM10,2021/01/01 00:00:00+00
814,ARGELES-GAZOST,PM10,2020/01/01 00:00:00+00
843,RODEZ,PM10,2023/01/01 00:00:00+00
844,RODEZ,PM10,2022/01/01 00:00:00+00
845,RODEZ,PM10,2021/01/01 00:00:00+00
846,RODEZ,PM10,2020/01/01 00:00:00+00
847,RODEZ,PM10,2019/01/01 00:00:00+00
871,TOULOUSE,PM10,2023/01/01 00:00:00+00
872,TOULOUSE,PM10,2022/01/01 00:00:00+00
873,TOULOUSE,PM10,2021/01/01 00:00:00+00
