nom_com,nom_poll,date_debut,valeur
TOULOUSE,PM10,2023-01-01 00:00:00+00:00,14.3
TOULOUSE,PM10,2023-01-01 00:00:00+00:00,13.4
ALBI,PM10,2023-01-01 00:00:00+00:00,13.5
TOULOUSE,PM10,2023-01-01 00:00:00+00:00,
TOULOUSE,PM10,2023-01-01 00:00:00+00:00,15.7
TOULOUSE,PM10,2023-01-01 00:00:00+00:00,
TOULOUSE,PM10,2023-01-01 00:00:00+00:00,26.5
TARBES,PM10,2023-01-01 00:00:00+00:00,13.2
TOULOUSE,PM10,2023-01-01 00:00:00+00:00,16.0
MONTAUBAN,PM10,2023-01-01 00:00:00+00:00,14.0
MONTPELLIER,PM10,2023-01-01 00:00:00+00:00,13.4
MONTPELLIER,PM10,2023-01-01 00:00:00+00:00,17.2
NIMES,PM10,2023-01-01 00:00:00+00:00,14.4
NIMES,PM10,2023-01-01 00:00:00+00:00,
PERPIGNAN,PM10,2023-01-01 00:00:00+00:00,14.4
PERPIGNAN,PM10,2023-01-01 00:00:00+00:00,20.9
MONTPELLIER,PM10,2023-01-01 00:00:00+00:00,
RODEZ,PM10,2023-01-01 00:00:00+00:00,11.2
TOULOUSE,PM10,2023-01-01 00:00:00+00:00,
SAINT-GIRONS,PM10,2023-01-01 00:00:00+00:00,11.9
AUCH,PM10,2023-01-01 00:00:00+00:00,13.1
